citation_key,entry_type,bib_doi,api_doi,status,http_status,title_similarity,author_overlap,bib_title,api_title,bib_year,api_year,candidate_doi,candidate_title,candidate_title_similarity,search_http_status,source,registry_http_status,registry_source,crossref_search_http_status,crossref_search_source,populated_fields,notes
Li2024IntelligentMultiobjectiveOptimization,article,10.1007/s00170-024-14309-w,10.1007/s00170-024-14309-w,verified,200,1.0000,1.0000,An Intelligent Multi-Objective Optimization Method for Transverse Profile Grinding Processes of Large Shafts,An intelligent multi-objective optimization method for transverse profile grinding processes of large shafts,2024,2024,,,,,cache,,,,,,
Liu2020ElectrochemicalDischargeGrinding,article,10.1515/secm-2020-0038,10.1515/secm-2020-0038,verified,200,1.0000,1.0000,Electrochemical Discharge Grinding of Metal Matrix Composites Using Shaped Abrasive Tools Formed by Sintered Bronze/Diamond,Electrochemical Discharge Grinding of Metal Matrix Composites Using Shaped Abrasive Tools Formed by Sintered Bronze/diamond,2020,2020,,,,,cache,,,,,,
Liu2023AnalysisGrindingMechanics,article,10.1016/j.cja.2022.11.005,10.1016/j.cja.2022.11.005,verified,200,1.0000,1.0000,Analysis of Grinding Mechanics and Improved Grinding Force Model Based on Randomized Grain Geometric Characteristics,Analysis of grinding mechanics and improved grinding force model based on randomized grain geometric characteristics,2023,2023,,,,,cache,,,,,,
Lopes2021EfficientShorttimeFourier,article,10.1007/s00170-020-06476-3,10.1007/s00170-020-06476-3,verified,200,1.0000,1.0000,An Efficient Short-Time Fourier Transform Algorithm for Grinding Wheel Condition Monitoring through Acoustic Emission,An efficient short-time Fourier transform algorithm for grinding wheel condition monitoring through acoustic emission,2021,2021,,,,,cache,,,,,,
Ma2022SurfacePredictionLaserassisted,article,10.1016/j.jmapro.2022.06.019,10.1016/j.jmapro.2022.06.019,verified,200,1.0000,1.0000,Surface Prediction in Laser-Assisted Grinding Process Considering Temperature-Dependent Mechanical Properties of Zirconia Ceramic,Surface prediction in laser-assisted grinding process considering temperature-dependent mechanical properties of zirconia ceramic,2022,2022,,,,,cache,,,,,,
Maggioni2014InprocessQualityCharacterization,inproceedings,10.1115/esda2014-20439,10.1115/esda2014-20439,verified,200,1.0000,1.0000,In-Process Quality Characterization of Grinding Processes: {{A}} Sensor-Fusion Based Approach,In-process quality characterization of grinding processes: A sensor-fusion based approach,2014,2014,,,,,cache,,,,,,
Michalowska2023MultiresolutionLearningDeepONets,article,10.1016/j.neucom.2025.131154,10.1016/j.neucom.2025.131154,verified,200,1.0000,0.5000,Multi-Resolution Learning with {{DeepONets}} and Long Short-Term Memory Neural Networks,Multi-resolution learning with DeepONets and long short-term memory neural networks,2025,2025,,,,,cache,,,,,,
Pan2023RealtimePredictionGrinding,article,10.1007/s00170-023-11886-0,10.1007/s00170-023-11886-0,verified,200,1.0000,1.0000,Real-Time Prediction of Grinding Surface Roughness Based on Multi-Sensor Signal Fusion,Real-time prediction of grinding surface roughness based on multi-sensor signal fusion,2023,2023,,,,,cache,,,,,,
Patino2022OptimizationOperatingConditions,article,10.1016/j.powtec.2022.117394,10.1016/j.powtec.2022.117394,verified,200,1.0000,1.0000,Optimization of Operating Conditions on Ultra-Fine Coal Grinding through Kinetic Stirred Milling and Numerical Modeling,Optimization of operating conditions on ultra-fine coal grinding through kinetic stirred milling and numerical modeling,2022,2022,,,,,cache,,,,,,
Petrakis2022EffectGrindingMedia,article,10.3390/min12020184,10.3390/min12020184,verified,200,1.0000,1.0000,Effect of Grinding Media Size on Ferronickel Slag Ball Milling Efficiency and Energy Requirements Using Kinetics and Attainable Region Approaches,Effect of Grinding Media Size on Ferronickel Slag Ball Milling Efficiency and Energy Requirements Using Kinetics and Attainable Region Approaches,2022,2022,,,,,cache,,,,,,
Pietrow2022EvolutionElectroplatedCubic,article,10.1115/1.4054990,10.1115/1.4054990,verified,200,1.0000,1.0000,Evolution of {{Electroplated Cubic Boron Nitride Tool Surface Texture Parameters During Point Grinding}},Evolution of Electroplated Cubic Boron Nitride Tool Surface Texture Parameters During Point Grinding,2022,2022,,,,,cache,,,,,,
Shen2022AcousticEmissionBased,article,10.1016/j.apacoust.2022.108863,10.1016/j.apacoust.2022.108863,verified,200,1.0000,1.0000,Acoustic Emission Based Grinding Wheel Wear Monitoring: {{Signal}} Processing and Feature Extraction,Acoustic emission based grinding wheel wear monitoring: Signal processing and feature extraction,2022,2022,,,,,cache,,,,,,
Wan2024MultisensorMonitoringMethodology,article,10.1016/j.ymssp.2023.111003,10.1016/j.ymssp.2023.111003,verified,200,1.0000,1.0000,A Multi-Sensor Monitoring Methodology for Grinding Wheel Wear Evaluation Based on {{INFO-SVM}},A multi-sensor monitoring methodology for grinding wheel wear evaluation based on INFO-SVM,2024,2024,,,,,cache,,,,,,
Wang2021TwoNewKurtosisbased,article,10.1016/j.measurement.2021.109215,10.1016/j.measurement.2021.109215,verified,200,1.0000,1.0000,Two New Kurtosis-Based Similarity Evaluation Indicators for Grinding Chatter Diagnosis under Non-Stationary Working Conditions,Two new kurtosis-based similarity evaluation indicators for grinding chatter diagnosis under non-stationary working conditions,2021,2021,,,,,cache,,,,,,
Wang2022InvestigationMonitoringDamage,article,10.1016/j.jmapro.2022.07.055,10.1016/j.jmapro.2022.07.055,verified,200,1.0000,1.0000,An Investigation of Monitoring the Damage Mechanism in Ultra-Precision Grinding of Monocrystalline Silicon Based on {{AE}} Signals Processing,An investigation of monitoring the damage mechanism in ultra-precision grinding of monocrystalline silicon based on AE signals processing,2022,2022,,,,,cache,,,,,,
Wang2023EvaluationGrindingCharacteristics,article,10.1016/j.jmapro.2023.02.009,10.1016/j.jmapro.2023.02.009,verified,200,1.0000,1.0000,Evaluation of Grinding Characteristics for Sapphire Ultra-Precision Grinding Using Small Grit Sizes Wheels Based on {{AE}} Signals,Evaluation of grinding characteristics for sapphire ultra-precision grinding using small grit sizes wheels based on AE signals,2023,2023,,,,,cache,,,,,,
Wang2023MonitoringDuctileBrittle,article,10.1016/j.measurement.2023.112557,10.1016/j.measurement.2023.112557,verified,200,0.9970,1.0000,Monitoring of Ductile--Brittle Transition Mechanisms in Sapphire Ultra-Precision Grinding Used Small Grit Size Grinding Wheel through Force and Acoustic Emission Signals,Monitoring of ductile–brittle transition mechanisms in sapphire ultra-precision grinding used small grit size grinding wheel through force and acoustic emission signals,2023,2023,,,,,cache,,,,,,
Wu2024ActiveVibrationControl,article,10.1016/j.ymssp.2024.111379,10.1016/j.ymssp.2024.111379,verified,200,1.0000,1.0000,Active Vibration Control in Robotic Grinding Using Six-Axis Acceleration Feedback,Active vibration control in robotic grinding using six-axis acceleration feedback,2024,2024,,,,,cache,,,,,,
Xu2023InvestigationSurfaceIntegrity,article,10.1016/j.jmapro.2023.10.027,10.1016/j.jmapro.2023.10.027,verified,200,1.0000,1.0000,Investigation of Surface Integrity in Grinding of Nickel Based Superalloy under Different Cooling Conditions,Investigation of surface integrity in grinding of nickel based superalloy under different cooling conditions,2023,2023,,,,,cache,,,,,,
Yin2021RobustWheelWear,article,10.1016/j.wear.2021.204112,10.1016/j.wear.2021.204112,verified,200,1.0000,1.0000,Robust Wheel Wear Detection for Solid Carbide Grinding under Strong Noise Interference: {{A}} New Approach Based on Improved Ensemble Noise-Reconstructed Empirical Mode Decomposition,Robust wheel wear detection for solid carbide grinding under strong noise interference: A new approach based on improved ensemble noise-reconstructed empirical mode decomposition,2021,2021,,,,,cache,,,,,,
Yin2022PredictionModelExperimental,article,10.1007/s00170-022-09135-x,10.1007/s00170-022-09135-x,verified,200,1.0000,1.0000,The Prediction Model and Experimental Research of Grinding Surface Roughness Based on {{AE}} Signal,The prediction model and experimental research of grinding surface roughness based on AE signal,2022,2022,,,,,cache,,,,,,
Zhang2019SiliconCarbideSurface,article,10.1080/10910344.2018.1486414,10.1080/10910344.2018.1486414,verified,200,1.0000,1.0000,Silicon Carbide Surface Quality Prediction Based on Artificial Intelligence Methods on Multi-Sensor Fusion Detection Test Platform,Silicon Carbide Surface Quality Prediction Based on Artificial Intelligence Methods on Multi-sensor Fusion Detection Test Platform,2019,2019,,,,,cache,,,,,,
Zhang2022EMDbasedTimeFrequency,article,10.1088/1361-6501/ac78c3,10.1088/1361-6501/ac78c3,verified,200,1.0000,1.0000,{{EMD-based}} Time--Frequency Denoising Algorithm for the Self-Sensing of Vibration Signals in Ultrasonic-Assisted Grinding,EMD-based time-frequency denoising algorithm for the self-sensing of vibration signals in ultrasonic-assisted grinding,2022,2022,,,,,cache,,,,,,
Zhang2023UnderstandingCrackSuppression,article,10.1016/j.ijmachtools.2023.104088,10.1016/j.ijmachtools.2023.104088,verified,200,1.0000,1.0000,Towards Understanding the Crack Suppression Mechanism in Brittle Materials with High Grinding Speed at Different Temperatures,Towards understanding the crack suppression mechanism in brittle materials with high grinding speed at different temperatures,2023,2023,,,,,cache,,,,,,
Zheng2022AnalyticalForceEnergy,article,10.1016/j.ijmecsci.2022.107107,10.1016/j.ijmecsci.2022.107107,verified,200,1.0000,1.0000,An Analytical Force and Energy Model for Ductile-Brittle Transition in Ultra-Precision Grinding of Brittle Materials,An analytical force and energy model for ductile-brittle transition in ultra-precision grinding of brittle materials,2022,2022,,,,,cache,,,,,,
Zhou2021TemperatureFieldMaterial,article,10.1016/j.ijheatmasstransfer.2021.121366,10.1016/j.ijheatmasstransfer.2021.121366,verified,200,1.0000,1.0000,Temperature Field and Material Response as a Function of Rail Grinding Parameters,Temperature field and material response as a function of rail grinding parameters,2021,2021,,,,,cache,,,,,,
Zhou2022SurfaceIntegrityRail,article,10.1016/j.triboint.2021.107327,10.1016/j.triboint.2021.107327,verified,200,1.0000,1.0000,Surface Integrity during Rail Grinding under Wet Conditions: {{Full-scale}} Experiment and Multi-Grain Grinding Simulation,Surface integrity during rail grinding under wet conditions: Full-scale experiment and multi-grain grinding simulation,2022,2022,,,,,cache,,,,,,
liu2018artificial,article,10.1016/j.ymssp.2018.02.016,10.1016/j.ymssp.2018.02.016,verified,200,1.0000,1.0000,Artificial Intelligence for Fault Diagnosis of Rotating Machinery: A Review,Artificial intelligence for fault diagnosis of rotating machinery: A review,2018,2018,,,,,cache,,,,,,
gal2016dropout,inproceedings,,,missing_doi_candidate_only,0,0.0000,0.0000,Dropout as a {Bayesian} Approximation: Representing Model Uncertainty in Deep Learning,,2016,,10.1016/j.neucom.2024.128533,Double-kernel based Bayesian approximation broad learning system with dropout,0.5250,200,,,,200,crossref-search-cache,,
kwak2004neural,article,10.1016/j.jmatprotec.2003.11.016,10.1016/j.jmatprotec.2003.11.016,verified,200,1.0000,1.0000,Neural Network Approach for Diagnosis of Grinding Operation by Acoustic Emission and Power Signals,Neural network approach for diagnosis of grinding operation by acoustic emission and power signals,2004,2004,,,,,cache,,,,,,
mallat2012group,article,10.1002/cpa.21413,10.1002/cpa.21413,verified,200,1.0000,1.0000,Group Invariant Scattering,Group Invariant Scattering,2012,2012,,,,,cache,,,,,,
selvaraju2017grad,article,10.1007/s11263-019-01228-7,10.1007/s11263-019-01228-7,verified,200,1.0000,1.0000,{Grad-CAM}: Visual Explanations from Deep Networks via Gradient-Based Localization,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,2020,2020,,,,,cache,,,,,,
tonshoff1992acoustic,article,10.1016/s0007-8506(07)63254-5,10.1016/s0007-8506(07)63254-5,verified,200,1.0000,0.7500,Modelling and Simulation of Grinding Processes,Modelling and Simulation of Grinding Processes,1992,1992,,,,,cache,,,,,,
grinsztajn2022tree,article,10.52202/068431-0037,10.52202/068431-0037,verified_by_crossref,404,1.0000,1.0000,Why Do Tree-Based Models Still Outperform Deep Learning on Typical Tabular Data?,Why Do Tree-Based Models Still Outperform Deep Learning on Typical Tabular Data?,2022,2022,,,,,crossref-cache,200,crossref-cache,,,,
shwartz2022tabular,article,10.1016/j.inffus.2021.11.011,10.1016/j.inffus.2021.11.011,verified,200,1.0000,1.0000,Tabular Data: Deep Learning is Not All You Need,Tabular data: Deep learning is not all you need,2022,2022,,,,,cache,,,,,,
varma2006bias,article,10.1186/1471-2105-7-91,10.1186/1471-2105-7-91,verified,200,1.0000,1.0000,Bias in Error Estimation When Using Cross-Validation for Model Selection,Bias in error estimation when using cross-validation for model selection,2006,2006,,,,,cache,,,,,,
antoni2007cyclic,article,10.1016/j.ymssp.2006.08.007,10.1016/j.ymssp.2006.08.007,verified,200,1.0000,1.0000,Cyclic Spectral Analysis in Practice,Cyclic spectral analysis in practice,2007,2007,,,,,cache,,,,,,
antoni2004cyclostationary,article,10.1016/s0888-3270(03)00088-8,10.1016/s0888-3270(03)00088-8,verified,200,1.0000,1.0000,Cyclostationary Modelling of Rotating Machine Vibration Signals,Cyclostationary modelling of rotating machine vibration signals,2004,2004,,,,,cache,,,,,,
lakshminarayanan2017simple,inproceedings,,,missing_doi_candidate_only,0,0.0000,0.0000,Simple and Scalable Predictive Uncertainty Estimation Using Deep Ensembles,,2017,,10.3390/w14192980,Flood Uncertainty Estimation Using Deep Ensembles,0.7480,200,,,,200,crossref-search-cache,,
ovadia2019can,inproceedings,,,missing_doi_candidate_only,0,0.0000,0.0000,Can You Trust Your Model's Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,,2019,,10.1007/978-3-030-59710-8_80,Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?,0.6400,200,,,,200,crossref-search-cache,,
zhang2023improved,article,10.1016/j.jprocont.2023.103036,10.1016/j.jprocont.2023.103036,verified,200,1.0000,1.0000,Improved Copula-Based Conformal Prediction for Uncertainty Quantification of Multi-Output Regression,Improved Copula-based conformal prediction for uncertainty quantification of multi-output regression,2023,2023,,,,,cache,,,,,,
Brinksmeier2006,article,10.1016/j.cirp.2006.10.003,10.1016/j.cirp.2006.10.003,verified,200,1.0000,1.0000,Advances in Modeling and Simulation of Grinding Processes,Advances in modeling and simulation of grinding processes,2006,2006,,,,,cache,,,,,,
Jawahir2011,article,10.1016/j.cirp.2011.05.002,10.1016/j.cirp.2011.05.002,verified,200,1.0000,1.0000,Surface Integrity in Material Removal Processes: Recent Advances,Surface integrity in material removal processes: Recent advances,2011,2011,,,,,cache,,,,,,
Novovic2004,article,10.1016/j.ijmachtools.2003.10.018,10.1016/j.ijmachtools.2003.10.018,verified,200,1.0000,1.0000,The Effect of Machined Topography and Integrity on Fatigue Life,The effect of machined topography and integrity on fatigue life,2004,2004,,,,,cache,,,,,,
Dornfeld1992,article,10.1016/0963-8695(92)90636-u,10.1016/0963-8695(92)90636-u,verified,200,1.0000,1.0000,Application of Acoustic Emission Techniques in Manufacturing,Application of acoustic emission techniques in manufacturing,1992,1992,,,,,cache,,,,,,
Byrne1995,article,10.1016/s0007-8506(07)60503-4,10.1016/s0007-8506(07)60503-4,verified,200,1.0000,0.8333,Tool Condition Monitoring {(TCM)}---The Status of Research and Industrial Application,Tool Condition Monitoring (TCM) - The Status of Research and Industrial Application,1995,1995,,,,,cache,,,,,,
Teti2010,article,10.1016/j.cirp.2010.05.010,10.1016/j.cirp.2010.05.010,verified,200,1.0000,1.0000,Advanced Monitoring of Machining Operations,Advanced monitoring of machining operations,2010,2010,,,,,cache,,,,,,
Hassui2003,article,10.1016/s0890-6955(03)00049-x,10.1016/s0890-6955(03)00049-x,verified,200,1.0000,1.0000,Correlating Surface Roughness and Vibration on Plunge Cylindrical Grinding of Steel,Correlating surface roughness and vibration on plunge cylindrical grinding of steel,2003,2003,,,,,cache,,,,,,
Altintas2004,article,10.1016/s0007-8506(07)60032-8,10.1016/s0007-8506(07)60032-8,verified,200,1.0000,1.0000,Chatter Stability of Metal Cutting and Grinding,Chatter stability of metal cutting and grinding,2004,2004,,,,,cache,,,,,,
Quintana2011,article,10.1016/j.ijmachtools.2011.01.001,10.1016/j.ijmachtools.2011.01.001,verified,200,1.0000,1.0000,Chatter in Machining Processes: A Review,Chatter in machining processes: A review,2011,2011,,,,,cache,,,,,,
Benardos2003,article,10.1016/s0890-6955(03)00059-2,10.1016/s0890-6955(03)00059-2,verified,200,1.0000,1.0000,Predicting Surface Roughness in Machining: A Review,Predicting surface roughness in machining: A review,2003,2003,,,,,cache,,,,,,
Ozel2005,article,10.1016/j.ijmachtools.2004.09.007,10.1016/j.ijmachtools.2004.09.007,verified,200,1.0000,1.0000,Predictive Modeling of Surface Roughness and Tool Wear in Hard Turning Using Regression and Neural Networks,Predictive modeling of surface roughness and tool wear in hard turning using regression and neural networks,2005,2005,,,,,cache,,,,,,
Wuest2016,article,10.1080/21693277.2016.1192517,10.1080/21693277.2016.1192517,verified,200,1.0000,1.0000,"Machine Learning in Manufacturing: Advantages, Challenges, and Applications","Machine learning in manufacturing: Advantages, challenges, and applications",2016,2016,,,,,cache,,,,,,
Antoni2006,article,10.1016/j.ymssp.2004.09.001,10.1016/j.ymssp.2004.09.001,verified,200,1.0000,1.0000,The Spectral Kurtosis: A Useful Tool for Characterising Non-Stationary Signals,The spectral kurtosis: A useful tool for characterising non-stationary signals,2006,2006,,,,,cache,,,,,,
Anden2014,article,10.1109/tsp.2014.2326991,10.1109/tsp.2014.2326991,verified,200,1.0000,0.5000,Deep Scattering Spectrum,Deep scattering spectrum,2014,2014,,,,,cache,,,,,,
Wang2018,article,10.1016/j.jmsy.2018.01.003,10.1016/j.jmsy.2018.01.003,verified,200,1.0000,1.0000,Deep Learning for Smart Manufacturing: Methods and Applications,Deep learning for smart manufacturing: Methods and applications,2018,2018,,,,,cache,,,,,,
Khan2018,article,10.1016/j.ymssp.2017.11.024,10.1016/j.ymssp.2017.11.024,verified,200,1.0000,1.0000,A Review on the Application of Deep Learning in System Health Management,A review on the application of deep learning in system health management,2018,2018,,,,,cache,,,,,,
Lei2020,article,10.1016/j.ymssp.2019.106587,10.1016/j.ymssp.2019.106587,verified,200,1.0000,1.0000,Applications of Machine Learning to Machine Fault Diagnosis: A Review and Roadmap,Applications of machine learning to machine fault diagnosis: A review and roadmap,2020,2020,,,,,cache,,,,,,
Khaleghi2013,article,10.1016/j.inffus.2011.08.001,10.1016/j.inffus.2011.08.001,verified,200,1.0000,1.0000,Multisensor Data Fusion: A Review of the State-of-the-Art,Multisensor data fusion: A review of the state-of-the-art,2013,2013,,,,,cache,,,,,,
